06-28 13:57:40 INFO Using approximated mean, std
06-28 13:57:40 INFO image_mean_train = tensor([0.2475, 0.3098, 0.3393]), image_std_train = tensor([0.2051, 0.2175, 0.2244])
06-28 13:57:40 INFO image_mean_val = tensor([0.1996, 0.2792, 0.3161]), image_std_val = tensor([0.0866, 0.0794, 0.0788])
06-28 13:57:40 INFO image_mean_test = tensor([0.2020, 0.2808, 0.3172]), image_std_test = tensor([0.0865, 0.0793, 0.0787])
06-28 13:57:40 INFO data_augmentation_type = 'fourier_basis_augmentation'
06-28 14:00:06 INFO E: 0 B: 0
06-28 14:00:08 INFO E: 0 B: 1
06-28 14:00:09 INFO E: 0 B: 2
06-28 14:00:10 INFO E: 0 B: 3
06-28 14:00:11 INFO E: 0 B: 4
06-28 14:00:12 INFO E: 0 B: 5
06-28 14:00:13 INFO E: 0 B: 6
06-28 14:00:14 INFO E: 0 B: 7
06-28 14:00:16 INFO E: 0 B: 8
06-28 14:00:17 INFO E: 0 B: 9
06-28 14:00:18 INFO E: 0 B: 10
06-28 14:00:20 INFO E: 0 B: 11
06-28 14:00:21 INFO E: 0 B: 12
06-28 14:00:22 INFO E: 0 B: 13
06-28 14:00:23 INFO E: 0 B: 14
06-28 14:00:24 INFO E: 0 B: 15
06-28 14:00:25 INFO E: 0 B: 16
06-28 14:00:27 INFO E: 0 B: 17
06-28 14:00:28 INFO E: 0 B: 18
06-28 14:00:29 INFO E: 0 B: 19
06-28 14:00:30 INFO E: 0 B: 20
06-28 14:00:32 INFO E: 0 B: 21
06-28 14:00:33 INFO E: 0 B: 22
06-28 14:00:34 INFO E: 0 B: 23
06-28 14:00:36 INFO E: 0 B: 24
06-28 14:00:37 INFO E: 0 B: 25
06-28 14:00:38 INFO E: 0 B: 26
06-28 14:00:39 INFO E: 0 B: 27
06-28 14:00:41 INFO E: 0 B: 28
06-28 14:00:42 INFO E: 0 B: 29
06-28 14:00:43 INFO E: 0 B: 30
06-28 14:00:44 INFO E: 0 B: 31
06-28 14:00:45 INFO E: 0 B: 32
06-28 14:00:46 INFO E: 0 B: 33
06-28 14:00:47 INFO E: 0 B: 34
06-28 14:00:48 INFO E: 0 B: 35
06-28 14:00:49 INFO E: 0 B: 36
06-28 14:00:50 INFO E: 0 B: 37
06-28 14:00:52 INFO E: 0 B: 38
06-28 14:00:53 INFO E: 0 B: 39
06-28 14:00:55 INFO E: 0 B: 40
06-28 14:00:56 INFO E: 0 B: 41
06-28 14:00:57 INFO E: 0 B: 42
06-28 14:00:58 INFO E: 0 B: 43
06-28 14:00:59 INFO E: 0 B: 44
06-28 14:01:00 INFO E: 0 B: 45
06-28 14:01:01 INFO E: 0 B: 46
06-28 14:01:02 INFO E: 0 B: 47
06-28 14:01:03 INFO E: 0 B: 48
06-28 14:01:05 INFO E: 0 B: 49
06-28 14:01:05 INFO E: 0 B: 50
06-28 14:01:07 INFO E: 0 B: 51
06-28 14:01:08 INFO E: 0 B: 52
06-28 14:01:09 INFO E: 0 B: 53
06-28 14:01:11 INFO E: 0 B: 54
06-28 14:01:12 INFO E: 0 B: 55
06-28 14:01:13 INFO E: 0 B: 56
06-28 14:01:14 INFO E: 0 B: 57
06-28 14:01:14 INFO E: 0 B: 58
06-28 14:01:16 INFO E: 0 B: 59
06-28 14:01:17 INFO E: 0 B: 60
06-28 14:01:18 INFO E: 0 B: 61
06-28 14:01:19 INFO E: 0 B: 62
06-28 14:01:20 INFO E: 0 B: 63
06-28 14:01:21 INFO E: 0 B: 64
06-28 14:01:22 INFO E: 0 B: 65
06-28 14:01:24 INFO E: 0 B: 66
