06-18 23:42:23 INFO Whole dataset size: 192556
06-18 23:42:23 INFO train loader size: 1204 batches (0.20%)
06-18 23:42:23 INFO validation loader size: 402 batches (0.07%)
06-18 23:42:23 INFO test loader size: 402 batches (0.07%)
06-18 23:43:35 INFO Finished saving Dataset Loaders
06-18 23:43:36 INFO Calculated correct mean, std
06-18 23:53:36 INFO image_mean_train = tensor([0.2481, 0.3106, 0.3390]), image_std_train = tensor([0.2056, 0.2191, 0.2231])
06-18 23:53:36 INFO image_mean_val = tensor([0.2471, 0.3086, 0.3380]), image_std_val = tensor([0.2059, 0.2162, 0.2239])
06-18 23:53:36 INFO image_mean_test = tensor([0.2470, 0.3097, 0.3388]), image_std_test = tensor([0.2061, 0.2175, 0.2229])
06-18 23:53:36 INFO data_augmentation_type = 'fourier_basis_augmentation'
06-18 23:53:37 INFO Beginning training, num_epochs = 40, device = device(type='cuda'), data_augmentation_type = 'fourier_basis_augmentation', batch_size = 32
06-18 23:53:37 INFO E: 0 B: 0
06-18 23:53:38 INFO E: 0 B: 1
06-18 23:53:39 INFO E: 0 B: 2
06-18 23:53:39 INFO E: 0 B: 3
06-18 23:53:40 INFO E: 0 B: 4
06-18 23:53:40 INFO E: 0 B: 5
06-18 23:53:41 INFO E: 0 B: 6
06-18 23:53:41 INFO E: 0 B: 7
06-18 23:53:42 INFO E: 0 B: 8
06-18 23:53:43 INFO E: 0 B: 9
06-18 23:53:43 INFO E: 0 B: 10
06-18 23:53:44 INFO E: 0 B: 11
06-18 23:53:45 INFO E: 0 B: 12
06-18 23:53:45 INFO E: 0 B: 13
06-18 23:53:46 INFO E: 0 B: 14
06-18 23:53:46 INFO E: 0 B: 15
06-18 23:53:47 INFO E: 0 B: 16
06-18 23:53:48 INFO E: 0 B: 17
06-18 23:53:48 INFO E: 0 B: 18
06-18 23:53:49 INFO E: 0 B: 19
06-18 23:53:49 INFO E: 0 B: 20
06-18 23:53:50 INFO E: 0 B: 21
06-18 23:53:51 INFO E: 0 B: 22
06-18 23:53:51 INFO E: 0 B: 23
06-18 23:53:52 INFO E: 0 B: 24
06-18 23:53:53 INFO E: 0 B: 25
06-18 23:53:53 INFO E: 0 B: 26
06-18 23:53:54 INFO E: 0 B: 27
06-18 23:53:55 INFO E: 0 B: 28
06-18 23:53:55 INFO E: 0 B: 29
06-18 23:53:56 INFO E: 0 B: 30
06-18 23:53:56 INFO E: 0 B: 31
06-18 23:53:57 INFO E: 0 B: 32
06-18 23:53:58 INFO E: 0 B: 33
06-18 23:53:58 INFO E: 0 B: 34
06-18 23:53:59 INFO E: 0 B: 35
06-18 23:53:59 INFO E: 0 B: 36
06-18 23:54:00 INFO E: 0 B: 37
06-18 23:54:01 INFO E: 0 B: 38
06-18 23:54:01 INFO E: 0 B: 39
06-18 23:54:02 INFO E: 0 B: 40
06-18 23:54:03 INFO E: 0 B: 41
06-18 23:54:04 INFO E: 0 B: 42
06-18 23:54:04 INFO E: 0 B: 43
06-18 23:54:05 INFO E: 0 B: 44
06-18 23:54:05 INFO E: 0 B: 45
06-18 23:54:06 INFO E: 0 B: 46
06-18 23:54:06 INFO E: 0 B: 47
06-18 23:54:07 INFO E: 0 B: 48
06-18 23:54:08 INFO E: 0 B: 49
06-18 23:54:08 INFO E: 0 B: 50
06-18 23:54:09 INFO E: 0 B: 51
06-18 23:54:10 INFO E: 0 B: 52
06-18 23:54:10 INFO E: 0 B: 53
06-18 23:54:11 INFO E: 0 B: 54
06-18 23:54:11 INFO E: 0 B: 55
06-18 23:54:12 INFO E: 0 B: 56
06-18 23:54:13 INFO E: 0 B: 57
06-18 23:54:13 INFO E: 0 B: 58
06-18 23:54:14 INFO E: 0 B: 59
06-18 23:54:14 INFO E: 0 B: 60
06-18 23:54:15 INFO E: 0 B: 61
06-18 23:54:16 INFO E: 0 B: 62
06-18 23:54:16 INFO E: 0 B: 63
06-18 23:54:17 INFO E: 0 B: 64
06-18 23:54:17 INFO E: 0 B: 65
06-18 23:54:18 INFO E: 0 B: 66
06-18 23:54:19 INFO E: 0 B: 67
06-18 23:54:19 INFO E: 0 B: 68
06-18 23:54:20 INFO E: 0 B: 69
06-18 23:54:20 INFO E: 0 B: 70
06-18 23:54:21 INFO E: 0 B: 71
06-18 23:54:21 INFO E: 0 B: 72
06-18 23:54:22 INFO E: 0 B: 73
06-18 23:54:23 INFO E: 0 B: 74
06-18 23:54:23 INFO E: 0 B: 75
06-18 23:54:24 INFO E: 0 B: 76
06-18 23:54:24 INFO E: 0 B: 77
06-18 23:54:25 INFO E: 0 B: 78
06-18 23:54:26 INFO E: 0 B: 79
06-18 23:54:26 INFO E: 0 B: 80
06-18 23:54:27 INFO E: 0 B: 81
06-18 23:54:28 INFO E: 0 B: 82
06-18 23:54:28 INFO E: 0 B: 83
06-18 23:54:29 INFO E: 0 B: 84
06-18 23:54:29 INFO E: 0 B: 85
06-18 23:54:30 INFO E: 0 B: 86
06-18 23:54:30 INFO E: 0 B: 87
06-18 23:54:31 INFO E: 0 B: 88
06-18 23:54:31 INFO E: 0 B: 89
06-18 23:54:32 INFO E: 0 B: 90
06-18 23:54:32 INFO E: 0 B: 91
06-18 23:54:33 INFO E: 0 B: 92
06-18 23:54:33 INFO E: 0 B: 93
06-18 23:54:34 INFO E: 0 B: 94
06-18 23:54:35 INFO E: 0 B: 95
06-18 23:54:36 INFO E: 0 B: 96
06-18 23:54:36 INFO E: 0 B: 97
06-18 23:54:37 INFO E: 0 B: 98
06-18 23:54:37 INFO E: 0 B: 99
06-18 23:54:38 INFO E: 0 B: 100
06-18 23:54:39 INFO E: 0 B: 101
06-18 23:54:39 INFO E: 0 B: 102
06-18 23:54:40 INFO E: 0 B: 103
06-18 23:54:40 INFO E: 0 B: 104
06-18 23:54:41 INFO E: 0 B: 105
06-18 23:54:42 INFO E: 0 B: 106
06-18 23:54:42 INFO E: 0 B: 107
06-18 23:54:43 INFO E: 0 B: 108
06-18 23:54:43 INFO E: 0 B: 109
06-18 23:54:44 INFO E: 0 B: 110
06-18 23:54:44 INFO E: 0 B: 111
06-18 23:54:45 INFO E: 0 B: 112
06-18 23:54:46 INFO E: 0 B: 113
06-18 23:54:46 INFO E: 0 B: 114
06-18 23:54:47 INFO E: 0 B: 115
06-18 23:54:48 INFO E: 0 B: 116
06-18 23:54:48 INFO E: 0 B: 117
06-18 23:54:49 INFO E: 0 B: 118
06-18 23:54:50 INFO E: 0 B: 119
06-18 23:54:50 INFO E: 0 B: 120
06-18 23:54:51 INFO E: 0 B: 121
06-18 23:54:51 INFO E: 0 B: 122
06-18 23:54:52 INFO E: 0 B: 123
06-18 23:54:53 INFO E: 0 B: 124
06-18 23:54:53 INFO E: 0 B: 125
06-18 23:54:54 INFO E: 0 B: 126
06-18 23:54:54 INFO E: 0 B: 127
06-18 23:54:55 INFO E: 0 B: 128
06-18 23:54:55 INFO E: 0 B: 129
06-18 23:54:56 INFO E: 0 B: 130
06-18 23:54:57 INFO E: 0 B: 131
06-18 23:54:57 INFO E: 0 B: 132
06-18 23:54:58 INFO E: 0 B: 133
06-18 23:54:58 INFO E: 0 B: 134
06-18 23:54:59 INFO E: 0 B: 135
06-18 23:54:59 INFO E: 0 B: 136
06-18 23:55:00 INFO E: 0 B: 137
06-18 23:55:00 INFO E: 0 B: 138
06-18 23:55:01 INFO E: 0 B: 139
06-18 23:55:02 INFO E: 0 B: 140
06-18 23:55:02 INFO E: 0 B: 141
06-18 23:55:03 INFO E: 0 B: 142
06-18 23:55:03 INFO E: 0 B: 143
06-18 23:55:04 INFO E: 0 B: 144
06-18 23:55:05 INFO E: 0 B: 145
06-18 23:55:06 INFO E: 0 B: 146
06-18 23:55:06 INFO E: 0 B: 147
06-18 23:55:07 INFO E: 0 B: 148
06-18 23:55:07 INFO E: 0 B: 149
06-18 23:55:08 INFO E: 0 B: 150
06-18 23:55:08 INFO E: 0 B: 151
06-18 23:55:09 INFO E: 0 B: 152
06-18 23:55:10 INFO E: 0 B: 153
