06-19 13:33:39 INFO Whole dataset size: 192556
06-19 13:33:39 INFO train loader size: 1204 batches (0.20%)
06-19 13:33:39 INFO validation loader size: 402 batches (0.07%)
06-19 13:33:39 INFO test loader size: 402 batches (0.07%)
06-19 13:34:49 INFO Finished saving Dataset Loaders
06-19 13:34:51 INFO Calculated correct mean, std
06-19 13:55:46 INFO image_mean_train = tensor([0.2028, 0.2819, 0.3179]), image_std_train = tensor([0.0894, 0.0829, 0.0825])
06-19 13:55:46 INFO image_mean_val = tensor([0.2018, 0.2803, 0.3168]), image_std_val = tensor([0.0879, 0.0817, 0.0814])
06-19 13:55:46 INFO image_mean_test = tensor([0.2012, 0.2810, 0.3174]), image_std_test = tensor([0.0886, 0.0822, 0.0818])
06-19 13:55:46 INFO data_augmentation_type = 'patch_gaussian'
06-19 13:55:47 INFO Beginning training, num_epochs = 40, device = device(type='cuda'), data_augmentation_type = 'patch_gaussian', batch_size = 32
06-19 13:55:48 INFO E: 0 B: 0
06-19 13:55:50 INFO E: 0 B: 1
06-19 13:55:51 INFO E: 0 B: 2
06-19 13:55:52 INFO E: 0 B: 3
06-19 13:55:52 INFO E: 0 B: 4
06-19 13:55:53 INFO E: 0 B: 5
06-19 13:55:54 INFO E: 0 B: 6
06-19 13:55:54 INFO E: 0 B: 7
06-19 13:55:55 INFO E: 0 B: 8
06-19 13:55:55 INFO E: 0 B: 9
06-19 13:55:56 INFO E: 0 B: 10
06-19 13:55:57 INFO E: 0 B: 11
06-19 13:55:57 INFO E: 0 B: 12
06-19 13:55:58 INFO E: 0 B: 13
06-19 13:55:59 INFO E: 0 B: 14
06-19 13:55:59 INFO E: 0 B: 15
06-19 13:56:00 INFO E: 0 B: 16
06-19 13:56:01 INFO E: 0 B: 17
06-19 13:56:01 INFO E: 0 B: 18
06-19 13:56:02 INFO E: 0 B: 19
06-19 13:56:03 INFO E: 0 B: 20
06-19 13:56:03 INFO E: 0 B: 21
06-19 13:56:04 INFO E: 0 B: 22
06-19 13:56:05 INFO E: 0 B: 23
06-19 13:56:06 INFO E: 0 B: 24
06-19 13:56:06 INFO E: 0 B: 25
06-19 13:56:07 INFO E: 0 B: 26
06-19 13:56:08 INFO E: 0 B: 27
06-19 13:56:08 INFO E: 0 B: 28
06-19 13:56:09 INFO E: 0 B: 29
06-19 13:56:10 INFO E: 0 B: 30
06-19 13:56:10 INFO E: 0 B: 31
06-19 13:56:11 INFO E: 0 B: 32
06-19 13:56:11 INFO E: 0 B: 33
06-19 13:56:12 INFO E: 0 B: 34
06-19 13:56:13 INFO E: 0 B: 35
06-19 13:56:13 INFO E: 0 B: 36
