06-17 15:20:56 INFO Whole dataset size: 192556
06-17 15:20:56 INFO train loader size: 1204 batches (0.20%)
06-17 15:20:56 INFO validation loader size: 402 batches (0.07%)
06-17 15:20:56 INFO test loader size: 402 batches (0.07%)
06-17 15:22:06 INFO Finished saving Dataset Loaders
06-17 15:22:09 INFO Calculated correct mean, std
06-17 15:36:14 INFO image_mean_train = tensor([0.2022, 0.2816, 0.3177]), image_std_train = tensor([0.0869, 0.0798, 0.0792])
06-17 15:36:14 INFO image_mean_val = tensor([0.2013, 0.2800, 0.3166]), image_std_val = tensor([0.0854, 0.0786, 0.0780])
06-17 15:36:14 INFO image_mean_test = tensor([0.2006, 0.2807, 0.3173]), image_std_test = tensor([0.0861, 0.0791, 0.0784])
06-17 15:36:14 INFO data_augmentation_type = 'nothing'
06-17 15:36:15 INFO Beginning training, num_epochs = 30, device = device(type='cuda'), data_augmentation_type = 'nothing', batch_size = 32
06-17 15:36:15 INFO E: 0 B: 0
06-17 15:36:18 INFO E: 0 B: 1
06-17 15:36:18 INFO E: 0 B: 2
06-17 15:36:19 INFO E: 0 B: 3
06-17 15:36:19 INFO E: 0 B: 4
06-17 15:36:20 INFO E: 0 B: 5
06-17 15:36:21 INFO E: 0 B: 6
06-17 15:36:21 INFO E: 0 B: 7
06-17 15:36:22 INFO E: 0 B: 8
06-17 15:36:22 INFO E: 0 B: 9
06-17 15:36:23 INFO E: 0 B: 10
06-17 15:36:24 INFO E: 0 B: 11
06-17 15:36:24 INFO E: 0 B: 12
06-17 15:36:25 INFO E: 0 B: 13
06-17 15:36:25 INFO E: 0 B: 14
06-17 15:36:26 INFO E: 0 B: 15
06-17 15:36:26 INFO E: 0 B: 16
06-17 15:36:27 INFO E: 0 B: 17
06-17 15:36:28 INFO E: 0 B: 18
06-17 15:36:28 INFO E: 0 B: 19
06-17 15:36:29 INFO E: 0 B: 20
06-17 15:36:29 INFO E: 0 B: 21
06-17 15:36:30 INFO E: 0 B: 22
06-17 15:36:31 INFO E: 0 B: 23
06-17 15:36:31 INFO E: 0 B: 24
06-17 15:36:32 INFO E: 0 B: 25
06-17 15:36:32 INFO E: 0 B: 26
06-17 15:36:33 INFO E: 0 B: 27
06-17 15:36:34 INFO E: 0 B: 28
06-17 15:36:34 INFO E: 0 B: 29
06-17 15:36:35 INFO E: 0 B: 30
06-17 15:36:35 INFO E: 0 B: 31
06-17 15:36:36 INFO E: 0 B: 32
06-17 15:36:36 INFO E: 0 B: 33
06-17 15:36:37 INFO E: 0 B: 34
06-17 15:36:37 INFO E: 0 B: 35
06-17 15:36:38 INFO E: 0 B: 36
06-17 15:36:39 INFO E: 0 B: 37
06-17 15:36:39 INFO E: 0 B: 38
